YEAR,DOY,SR,T2M_MIN,T2M_MAX,RH2M,WS2M
2022,229,21.88,23.55,34.58,76.44,0.11
2022,230,11.9,24.36,35,77,0.07
2022,231,22.83,23.86,34.98,74,0.07
2022,232,22.76,23.89,34.59,75,0.07
2022,233,16.18,23.99,33.73,79.06,0.01
2022,234,14.89,23.53,33.32,75.81,0.06
2022,235,17.96,24.47,31.99,79,0.12
2022,236,23.3,23.62,36.67,73,0.11
2022,237,19.81,24.24,32.59,80.81,0.05
2022,238,16,24.6,31.52,80.25,0.11
2022,239,6.18,22.85,31.12,83.19,0.05
2022,240,9.7,22.23,31.54,79.62,0.05
2022,241,17.8,22.24,32.79,79.31,0.08
2022,242,17.95,23.01,32.42,83.56,0.01
2022,243,19.21,22.45,32.63,79.19,0.06
2022,244,17.22,22.62,31.05,83.62,0.08
2022,245,17.33,22.65,32.47,81.25,0.06
2022,246,11.83,22.23,32.39,82.31,0
2022,247,13.37,23.46,31.12,84.31,0.01
2022,248,14.3,22.88,31.73,83.38,0.02
2022,249,13.27,22.91,31.18,83.62,0.07
2022,250,17.4,23.12,31.98,85.12,0.06
2022,251,20.26,23.66,32.26,81.81,0.06
2022,252,18.96,22.44,32.55,78.5,0.05
2022,253,19.87,22.8,30.76,77.94,0.12
2022,254,19.53,23.16,29.97,84.06,0.09
2022,255,16.13,21.15,28.3,90.19,0.02
2022,256,14.16,21.04,32.26,80.75,0.04
2022,257,17.37,21.7,30.57,83.19,0.02
2022,258,14.46,21.96,30.1,87.19,0.01
2022,259,14.92,22.12,31.65,84.69,0.01
2022,260,17.9,22.36,31.8,81.12,0.06
2022,261,13.54,23.26,33.38,77.25,0.14
2022,262,19.51,24.04,33.91,76.81,0.11
2022,263,18.65,23.4,32.75,82.38,0.05
2022,264,16.08,23.06,31.96,81.81,0.06
2022,265,16.06,22.46,32.69,76.19,0.12
2022,266,17.05,23.4,28.85,82.44,0.19
2022,267,17.1,22.8,28.57,88,0.16
2022,268,10.14,22.82,29.71,83,0.19
2022,269,16.5,22.19,31.37,79.75,0.2
2022,270,16.21,22.7,29.58,82.56,0.2
2022,271,15.67,22.75,31.16,82.12,0.09
2022,272,17.76,21.97,33.16,74.94,0.2
2022,273,17.76,22.83,33.62,73.31,0.16
2022,274,18.53,23.6,33.8,73.06,0.16
2022,275,9.17,23.46,33.05,75.44,0.16
2022,276,9.48,23.62,31.94,82.75,0.09
2022,277,16.79,22.23,30.94,86.88,0.02
2022,278,13.93,22.37,30.23,86.56,0.08
2022,279,17.18,21.8,29.81,84.31,0.05
2022,280,19.86,20.5,30.59,83,0.09
2022,281,17.56,20.58,30.73,82.5,0.1
2022,282,13.45,20.94,29.02,88.25,0.03
2022,283,16.63,21.54,30.01,85.94,0.03
2022,284,5.5,20.98,29.2,88.69,0
2022,285,13.33,20.68,26.69,89.56,0.05
2022,286,15.52,20.08,29.87,81.25,0.15
2022,287,16.12,20.44,25.9,86.19,0.16
2022,288,18.3,20.06,29.98,79.88,0.23
2022,289,19.06,18.68,30.59,77.81,0.27
2022,290,16.97,20.01,30.37,75.62,0.19
2022,291,14.41,20.2,30.46,77.94,0.2
2022,292,17.3,19.42,28.34,79.56,0.2
2022,293,18.88,18.52,28.91,80.44,0.19
2022,294,19.59,18.46,28.98,78.81,0.2
2022,295,18.11,18.44,29.67,71.62,0.25
2022,296,11.08,18.96,29.26,81.5,0.17
2022,297,4.77,17.86,22.77,95,0.05
2022,298,9.39,17.55,25.86,92.38,0.05
2022,299,13.2,18.03,25.79,85.12,0.13
2022,300,16.79,16.49,26.33,82.5,0.24
2022,301,17.94,15.33,26.36,80.88,0.27
2022,302,18.71,16.35,31.51,73.31,0.31
2022,303,19.17,16.17,27.65,74.88,0.28
2022,304,19.57,16.05,27.58,77.38,0.28
